ztfname,mass,mass_err,restframe_gz,restframe_gz_err
ZTF18adasopt,9.248,0.066,1.25869653,0.026172504657
ZTF18adathpb,8.71,0.094,0.98369653,0.226126071031
ZTF18adatosi,8.239,0.192,0.93769653,0.417642191355
ZTF18adaylyq,9.945,0.117,1.35469653,0.018384776311
ZTF18adazbol,9.894,0.046,1.28769653,0.028301943396
ZTF18adazeua,9.281,0.04,1.24569653,0.030528675045
ZTF18adazgdh,9.174,0.047,0.93169653,0.029732137495
ZTF18adazjiq,7.165,0.568,0.30069653,1.182016074341
ZTF18adbadqp,7.796,0.185,0.72469653,0.185218789544
ZTF18adbckox,8.147,0.638,0.68569653,1.277593049449
ZTF18adbhrjs,6.5,0.724,1.37169653,0.961264271676
ZTF18adbhvze,8.512,0.319,1.76169653,1.030638636963
ZTF18adbidta,,-9.0,,
ZTF18adbntwo,8.538,0.042,1.04269653,0.055443665103
ZTF18adbyxua,8.543,0.629,1.17969653,1.253734022829
ZTF18adcakbo,8.028,0.294,0.66569653,0.452765943949
ZTF18adcbyiw,8.37,0.17,1.01969653,0.71128123833
ZTF18adcdcrd,10.381,0.09,1.18669653,0.018384776311
ZTF19aaaajtq,7.759,0.228,0.82169653,0.170801053861
ZTF19aaabmng,8.436,0.066,0.67469653,0.072111025509
ZTF19aaactno,8.441,0.059,0.98969653,0.229019649812
ZTF19aaafgbt,8.801,0.1,0.47469653,0.090210864091
ZTF19aaafica,,-9.0,,
ZTF19aaairqh,8.574,0.019,0.99169653,0.026870057685
ZTF19aaajbmv,9.405,0.041,1.27269653,0.020518284529
ZTF19aaaojck,7.901,0.915,1.62969653,1.762739345451
ZTF19aaaonuk,5.709,1.058,2.38069653,1.861414515899
ZTF19aaaphpx,9.696,0.03,1.39669653,0.019104973175
ZTF19aaapnxn,8.626,0.025,0.60169653,0.023430749028
ZTF19aaarhtg,9.768,0.109,1.32369653,0.018439088915
ZTF19aablual,,-9.0,,
ZTF19aablyrb,8.193,0.459,0.84069653,1.217295773426
ZTF19aabmybj,6.922,0.406,0.87369653,0.459034857064
ZTF19aabvfwn,8.553,0.035,1.06869653,0.037802116343
ZTF19aabyheu,9.394,0.043,1.27669653,0.019849433241
ZTF19aabyppp,7.968,0.044,0.87669653,0.051429563482
ZTF19aabyuze,7.686,0.11,0.51269653,0.144848196399
ZTF19aacgslb,7.665,0.05,0.59869653,0.028231188427
ZTF19aacijie,,-9.0,,
ZTF19aacilht,8.868,0.073,1.32169653,0.048795491595
ZTF19aacivvy,8.174,0.144,0.40669653,0.073756355658
ZTF19aacqeai,10.24,0.116,1.62269653,0.017691806013
ZTF19aacsofi,10.031,0.039,1.05469653,0.019209372712
ZTF19aacwljg,8.946,0.041,0.82469653,0.023430749028
ZTF19aacxrzt,9.651,0.097,1.18869653,0.026419689627
ZTF19aacylzh,8.44,0.293,2.53669653,4.455944905404
ZTF19aacyqhc,7.725,0.475,0.56669653,1.551558248987
ZTF19aadaszg,7.846,0.072,0.57069653,0.053814496188
ZTF19aaddzpk,9.664,0.025,1.15669653,0.017691806013
ZTF19aadgftj,8.909,0.03,0.64469653,0.022022715546
ZTF19aadmjtn,8.368,0.033,0.68969653,0.041036569057
ZTF19aadnmgf,8.104,0.218,0.78669653,0.271007379973
ZTF19aadnxat,7.805,0.112,0.55769653,0.133764718816
ZTF19aadnxcw,8.076,0.049,0.62569653,0.099161484458
ZTF19aadnxgj,9.204,0.02,0.96169653,0.021400934559
ZTF19aadofqk,10.189,0.049,1.52569653,0.019209372712
ZTF19aadolpe,7.472,0.181,0.58569653,0.141240928912
ZTF19aadoocn,9.492,0.044,0.89169653,0.019798989873
ZTF19aadooun,8.538,0.038,0.77269653,0.02941088234
ZTF19aadpdqm,9.323,0.036,1.31869653,0.027658633372
ZTF19aadsyop,9.528,0.035,1.31569653,0.020808652047
ZTF19aadtgxw,8.327,0.033,0.89269653,0.053535035257
ZTF19aadyijk,8.172,0.104,0.51369653,0.059076221951
ZTF19aadyioa,8.04,0.111,0.46269653,0.105
ZTF19aadyoqz,8.907,0.052,1.22769653,0.034205262753
ZTF19aaeflme,8.22,0.125,0.91769653,0.161012421881
ZTF19aaefxwq,10.135,0.039,1.43269653,0.018384776311
ZTF19aaeicsm,8.803,0.086,1.20869653,0.045453272709
ZTF19aaejslw,8.461,0.207,2.01569653,0.6041961602
ZTF19aaekvhn,8.55,0.032,0.43669653,0.042190046219
ZTF19aaeopqn,8.899,0.099,1.21769653,0.100623058987
ZTF19aaeoqkk,8.633,0.044,0.68769653,0.035355339059
ZTF19aaeoqst,8.634,0.074,0.94769653,0.132740348048
ZTF19aaephty,10.335,0.077,1.46069653,0.019104973175
ZTF19aaeshtp,,-9.0,,
ZTF19aaezwmr,8.477,0.046,0.50169653,0.153473124683
ZTF19aaflnii,8.414,0.162,0.42769653,0.202230067003
ZTF19aafmfxg,8.452,0.034,0.75169653,0.152433592098
ZTF19aafmhcl,7.991,0.071,0.73369653,0.137786066059
ZTF19aafmvdb,9.025,0.085,1.08269653,0.041773197148
ZTF19aafmwfc,9.24,0.037,0.93769653,0.028284271247
ZTF19aafmwhv,8.182,0.069,0.38469653,0.083570329663
ZTF19aafncsv,9.264,0.051,0.92069653,0.019849433241
ZTF19aafnecv,8.778,0.026,0.85169653,0.034828149535
ZTF19aafnfyc,7.481,0.571,1.22569653,0.705489900707
ZTF19aafwrhf,9.86,0.05,1.44269653,0.018439088915
ZTF19aagflbn,8.092,0.614,1.26469653,1.455075599411
ZTF19aagkfvq,9.576,0.022,1.42369653,0.021400934559
ZTF19aagmpeq,7.763,0.621,1.15869653,0.673238442158
ZTF19aagmsrr,9.188,0.021,1.24169653,0.019104973175
ZTF19aagnqks,9.762,0.043,1.59769653,0.019104973175
ZTF19aahjhoy,9.647,0.141,1.33769653,0.020518284529
ZTF19aahsclk,10.229,0.014,1.31369653,0.019849433241
ZTF19aahsgka,8.407,0.054,0.81969653,0.106831643252
ZTF19aahsnmq,7.176,0.347,0.69769653,1.075608200043
ZTF19aahuian,7.96,0.071,0.40269653,0.315012698157
ZTF19aahulyd,9.047,0.036,0.68469653,0.019849433241
ZTF19aahygro,8.833,0.05,1.17069653,0.029068883707
ZTF19aaileug,8.353,0.045,0.73369653,0.04837354649
ZTF19aailexm,10.538,0.034,1.30069653,0.018384776311
ZTF19aaillan,6.667,0.758,2.03569653,1.999906247803
ZTF19aailltc,7.619,0.263,0.58269653,0.278861973026
ZTF19aailmfm,8.02,0.156,0.98169653,0.325259896083
ZTF19aailqir,9.146,0.024,1.19769653,0.023430749028
ZTF19aailqli,8.233,0.052,0.44469653,0.062265560304
ZTF19aailsfh,8.281,0.116,1.12969653,0.169614268268
ZTF19aailteb,7.32,0.239,0.21369653,0.459025053782
ZTF19aailuvj,6.434,0.562,-0.01030347,1.474683694899
ZTF19aailvgo,5.302,0.259,-0.58430347,2.533607112399
ZTF19aainjpz,8.469,0.026,0.56269653,0.073593477972
ZTF19aainjqn,9.842,0.053,1.53069653,0.022671568098
ZTF19aajwdqt,8.341,0.045,0.49869653,0.083934498271
ZTF19aajwdux,8.639,0.033,0.55969653,0.034438350715
ZTF19aajwhbc,8.259,0.884,1.22369653,4.380603268957
ZTF19aajwhse,8.646,0.014,0.38269653,0.028319604517
ZTF19aajwjwq,8.954,0.035,1.22269653,0.062225396744
ZTF19aajwvmk,7.669,0.193,1.17469653,0.339607125956
ZTF19aajxhwa,7.896,0.146,0.65669653,0.209117192024
ZTF19aajxwnz,8.916,0.028,0.76769653,0.033015148038
ZTF19aakisqk,10.005,0.054,1.24369653,0.017691806013
ZTF19aakiwxx,8.499,0.065,0.91169653,0.047507894081
ZTF19aakiycc,7.848,0.181,0.71969653,0.271016604657
ZTF19aakiyly,8.568,0.025,0.90769653,0.05280151513
ZTF19aakizps,8.038,0.06,1.01169653,0.11610340219
ZTF19aakjbej,8.512,0.029,0.46869653,0.080056230239
ZTF19aakjesi,8.286,0.017,0.35769653,0.030528675045
ZTF19aakjfaz,9.522,0.121,1.21069653,0.022671568098
ZTF19aakkuqb,9.692,0.068,1.20169653,0.017691806013
ZTF19aakkxqv,9.529,0.037,1.42769653,0.075663729752
ZTF19aaklbok,9.769,0.013,1.04469653,0.019104973175
ZTF19aakljys,9.124,0.032,0.76269653,0.019104973175
ZTF19aaklnni,9.3,0.017,1.19669653,0.019104973175
ZTF19aaklqod,10.316,0.036,1.40769653,0.019209372712
ZTF19aaklquv,8.482,0.016,0.47869653,0.030232432916
ZTF19aakluwr,6.257,0.627,-0.08230347,1.929281990793
ZTF19aaknacv,8.719,0.03,0.82869653,0.036878177829
ZTF19aaknemm,9.313,0.022,0.89069653,0.022022715546
ZTF19aaknign,7.69,0.16,0.38669653,0.827290759044
ZTF19aaknvlv,9.805,0.029,1.19469653,0.018439088915
ZTF19aaknvuh,8.519,0.026,0.62869653,0.02561249695
ZTF19aakoasy,9.29,0.071,1.29369653,0.019849433241
ZTF19aakobov,8.722,0.032,0.98769653,0.041109609582
ZTF19aakocxy,9.582,0.025,1.67869653,0.023600847442
ZTF19aakoese,10.155,0.103,1.31569653,0.02404163056
ZTF19aakozyp,8.82,0.025,0.72869653,0.032202484376
ZTF19aakpcfi,7.487,0.218,0.61069653,0.320731975331
ZTF19aakpcfy,7.931,0.212,1.25669653,0.272809457314
ZTF19aakpfax,9.797,0.094,1.62469653,0.052009614496
ZTF19aakpmoy,8.831,0.03,1.02469653,0.023430749028
ZTF19aakpmry,8.918,0.126,1.34969653,0.102459748194
ZTF19aakrawk,9.72,0.04,1.45069653,0.020518284529
ZTF19aakrnqh,7.096,0.511,0.15569653,1.830501570608
ZTF19aaksqsz,8.408,0.043,0.61469653,0.066483080554
ZTF19aaksrgj,9.061,0.032,0.95469653,0.044045431091
ZTF19aaksrlb,8.66,0.056,1.45269653,0.083868945385
ZTF19aaktdid,8.614,0.022,1.07369653,0.027586228448
ZTF19aakthjl,8.757,0.02,0.75869653,0.028301943396
ZTF19aaktpns,9.779,0.081,1.23869653,0.019798989873
ZTF19aakwifv,9.489,0.023,1.13469653,0.024839484697
ZTF19aakxwqu,8.509,0.044,0.71269653,0.058309518948
ZTF19aakyers,8.787,0.03,1.12769653,0.111400179533
ZTF19aakykjl,9.72,0.032,1.07769653,0.018439088915
ZTF19aakyxsq,8.876,0.027,0.88869653,0.061773780846
ZTF19aakzwao,8.769,0.014,0.78369653,0.020615528128
ZTF19aalafip,8.269,0.073,1.26469653,0.094069123521
ZTF19aalahqe,9.442,0.095,1.24269653,0.053150729064
ZTF19aalaxsa,9.437,0.018,0.85469653,0.034655446902
ZTF19aalbzoh,7.705,0.435,0.34869653,0.926530085858
ZTF19aalckuo,7.796,0.145,0.47569653,0.078160092119
ZTF19aalcwjt,8.605,0.041,0.87469653,0.068242215673
ZTF19aalcyfd,8.132,0.028,0.63869653,0.042190046219
ZTF19aaldqvh,9.53,0.061,0.93969653,0.02952964612
ZTF19aalemmz,9.06,0.063,1.04269653,0.036715119501
ZTF19aaleptm,8.645,0.074,0.93669653,0.214720748881
ZTF19aalfxyi,9.218,0.025,1.12369653,0.026248809497
ZTF19aaljcsu,8.987,0.022,0.88069653,0.023430749028
ZTF19aaljeup,8.588,0.033,0.60369653,0.055973207877
ZTF19aallvor,8.84,0.027,0.70569653,0.031906112267
ZTF19aalrtfm,9.192,0.038,1.10869653,0.020518284529
ZTF19aalsqqy,9.948,0.113,1.38369653,0.018439088915
ZTF19aaluprf,9.697,0.023,1.21769653,0.018439088915
ZTF19aalvaxt,9.082,0.044,1.07769653,0.019104973175
ZTF19aalveag,9.215,0.03,0.80669653,0.021931712199
ZTF19aalwegb,7.444,0.528,0.21869653,1.065504575307
ZTF19aalxcyo,9.655,0.085,1.34169653,0.020615528128
ZTF19aalxlpp,8.498,0.064,0.92669653,0.086353922899
ZTF19aalyecr,8.806,0.054,1.09369653,0.064070273919
ZTF19aalyleg,8.718,0.039,0.89369653,0.048010415537
ZTF19aalzgdr,9.64,0.037,1.29369653,0.025
ZTF19aalzmio,8.668,0.036,0.63869653,0.035227829908
ZTF19aalzmiu,6.23,0.889,0.65469653,2.395085175938
ZTF19aalzmmt,8.408,0.071,0.69669653,0.343110769286
ZTF19aalzrrz,9.341,0.025,1.56169653,0.043600458713
ZTF19aamaeve,8.566,0.099,0.60269653,0.074060785845
ZTF19aambfxc,9.81,0.038,1.16769653,0.019798989873
ZTF19aambixl,9.593,0.053,1.10569653,0.020615528128
ZTF19aambzqh,9.72,0.068,1.20569653,0.017691806013
ZTF19aamdmcs,10.533,0.082,1.26769653,0.017691806013
ZTF19aamfxby,8.373,0.038,0.67869653,0.070519500849
ZTF19aamgjtz,7.712,0.235,0.26269653,0.771842600535
ZTF19aamgokq,7.961,0.096,0.42569653,0.32567621958
ZTF19aamgttu,9.791,0.032,1.22269653,0.017691806013
ZTF19aamgypy,5.744,0.533,0.66169653,2.602743552485
ZTF19aamhhae,8.185,0.058,0.48669653,0.116
ZTF19aamhhey,8.733,0.026,0.65469653,0.024413111231
ZTF19aamhhgu,9.538,0.073,1.13669653,0.018384776311
ZTF19aamhjlk,8.934,0.035,0.68269653,0.031827660926
ZTF19aamhlnl,,-9.0,,
ZTF19aamhqej,10.035,0.085,1.28769653,0.019209372712
ZTF19aamhqow,10.14,0.116,1.30469653,0.017691806013
ZTF19aamjvie,6.101,0.404,-0.42430347,1.602200049931
ZTF19aamkdtq,9.66,0.077,1.40269653,0.019104973175
ZTF19aamkfxb,7.014,0.238,-0.32730347,1.044069442135
ZTF19aamkywr,10.405,0.08,1.35069653,0.017691806013
ZTF19aammewd,9.056,0.147,1.31369653,0.034828149535
ZTF19aamooex,8.722,0.115,1.22869653,0.167839208768
ZTF19aamoqxy,8.55,0.031,0.90169653,0.057697486947
ZTF19aampqcq,8.544,0.036,0.77369653,0.02404163056
ZTF19aampyum,7.741,0.046,0.57069653,0.087726848798
ZTF19aamqebl,9.201,0.052,1.37669653,0.023600847442
ZTF19aamqlxu,8.901,0.154,0.95869653,0.200359676582
ZTF19aamqlyl,8.123,0.017,0.58069653,0.058821764679
ZTF19aamrdmm,,-9.0,,
ZTF19aamrnyv,10.184,0.02,1.47769653,0.018439088915
ZTF19aamsnhu,7.906,0.329,0.78569653,0.738566178484
ZTF19aamtima,10.026,0.116,1.40969653,0.019104973175
ZTF19aamtwwv,9.669,0.095,1.23669653,0.018384776311
ZTF19aamuvak,9.113,0.14,1.39669653,0.264024620064
ZTF19aamvmer,9.815,0.113,1.55469653,0.023430749028
ZTF19aamwyzl,8.186,0.071,0.41669653,0.285944050471
ZTF19aanbfaw,8.04,0.271,1.19269653,0.716486566517
ZTF19aanbojt,10.591,0.084,1.34569653,0.018384776311
ZTF19aanejfr,9.423,0.121,1.36169653,0.021260291625
ZTF19aanesxt,7.946,0.053,1.00069653,0.094921019801
ZTF19aanetjx,9.753,0.023,1.05669653,0.018439088915
ZTF19aaneugz,10.009,0.024,1.22569653,0.018439088915
ZTF19aanfyey,9.932,0.068,1.21469653,0.019849433241
ZTF19aanfzox,8.741,0.036,0.58569653,0.047010637094
ZTF19aangier,9.318,0.064,1.09369653,0.026870057685
ZTF19aanhdwf,7.373,0.43,0.29769653,1.628371579216
ZTF19aanhgqg,9.136,0.124,1.29269653,0.021931712199
ZTF19aanhlxe,8.115,0.084,0.70569653,0.116970081645
ZTF19aanhlzi,8.983,0.024,0.75669653,0.022022715546
ZTF19aanhlzn,7.982,0.106,0.56569653,0.148222805263
ZTF19aanipyw,8.119,0.377,1.14269653,3.718001210328
ZTF19aanircs,7.891,0.118,0.83469653,0.098493654618
ZTF19aanirdx,8.983,0.025,0.61469653,0.035341194094
ZTF19aanjjhk,7.61,0.475,0.62469653,0.461989177362
ZTF19aanjlwx,6.541,0.317,0.02969653,1.113246154271
ZTF19aanjvqr,8.965,0.069,1.23369653,0.022671568098
ZTF19aanmclt,9.001,0.101,1.31269653,0.026907248094
ZTF19aanmdsr,8.385,0.09,0.21769653,0.141410749238
ZTF19aanmeyw,8.684,0.029,1.06969653,0.039623225512
ZTF19aanonjt,7.947,0.544,1.06269653,0.929772552832
ZTF19aanramr,8.992,0.044,1.18369653,0.02334523506
ZTF19aansyyn,7.948,0.616,2.13369653,1.728662488747
ZTF19aantarc,5.0,1.244,2.90069653,2.314483959763
ZTF19aanuhox,8.727,0.032,0.74169653,0.034
ZTF19aanuipj,9.077,0.108,1.23969653,0.041868842831
ZTF19aanuipr,8.664,0.05,0.84369653,0.04472135955
ZTF19aanukbi,,-9.0,,
ZTF19aanutko,8.75,0.052,1.00569653,0.080056230239
ZTF19aanuuen,9.334,0.028,0.93469653,0.026907248094
ZTF19aanvmcm,9.205,0.036,1.04969653,0.026925824036
ZTF19aanwwlo,9.239,0.06,1.14469653,0.024758836806
ZTF19aanxgrz,9.382,0.124,1.38069653,0.019104973175
ZTF19aanxnkd,9.582,0.035,1.00369653,0.026076809621
ZTF19aanxosu,8.239,0.031,0.30369653,0.054589376256
ZTF19aanxrkt,8.696,0.024,0.96369653,0.049578221025
ZTF19aanydko,9.283,0.029,1.24969653,0.030479501308
ZTF19aanyubf,8.644,0.041,0.83869653,0.040607881008
ZTF19aanyuyh,10.116,0.088,1.51469653,0.018439088915
ZTF19aaoaaap,7.639,0.763,0.53669653,2.925604382004
ZTF19aaobwpx,8.117,0.051,0.72369653,0.062177166227
ZTF19aaocbes,8.401,0.477,1.39269653,0.661420441172
ZTF19aaohyqj,8.167,0.669,2.30469653,2.498045836249
ZTF19aaoikti,8.433,0.084,0.89769653,0.139817738503
ZTF19aaokist,9.171,0.075,1.06269653,0.109713262644
ZTF19aaomkvl,8.433,0.032,0.74369653,0.053413481444
ZTF19aaoyech,8.237,0.037,0.60069653,0.116297033496
ZTF19aaoyjoz,9.381,0.03,1.25869653,0.021931712199
ZTF19aaozpew,8.191,0.043,0.21969653,0.037121422387
ZTF19aaozplq,8.387,0.084,0.42869653,0.30059274775
ZTF19aapapdb,9.58,0.028,1.05969653,0.04205948169
ZTF19aapbgmp,9.79,0.092,1.19769653,0.019849433241
ZTF19aapbgty,7.644,0.39,0.76869653,0.953585339652
ZTF19aapcftv,6.005,0.334,0.75769653,4.135969656562
ZTF19aapcoqg,8.481,0.09,1.25069653,0.132276226133
ZTF19aapcvdi,8.206,0.139,1.00469653,0.116180893438
ZTF19aapcvxi,9.141,0.076,1.21769653,0.023430749028
ZTF19aapcwdq,7.995,0.741,0.44069653,2.413201193436
ZTF19aapcxiy,7.497,0.31,0.81069653,1.012056322543
ZTF19aapdkza,9.555,0.048,1.13369653,0.022022715546
ZTF19aapeime,9.796,0.108,1.37369653,0.019104973175
ZTF19aapemqu,7.753,0.044,0.32369653,0.08723531395
ZTF19aapfdcz,8.66,0.061,0.85669653,0.202852162917
ZTF19aapfktd,8.717,0.084,1.00269653,0.101118742081
ZTF19aapgbri,5.0,1.705,4.41769653,7.557129944628
ZTF19aapgdcn,8.113,0.585,1.72969653,1.465455901759
ZTF19aaphifl,9.363,0.036,1.56869653,0.058137767415
ZTF19aaphmto,7.46,0.301,0.62169653,0.565523651141
ZTF19aaphntn,6.126,0.36,0.16069653,2.421480538844
ZTF19aaplpaa,8.395,0.041,0.70669653,0.023430749028
ZTF19aapnzde,9.119,0.021,0.65769653,0.022803508502
ZTF19aapocyd,8.883,0.028,0.75669653,0.029732137495
ZTF19aapqrsh,7.903,0.127,1.01869653,0.192200416233
ZTF19aaprwye,9.951,0.088,1.39069653,0.018439088915
ZTF19aaprzcr,7.76,0.138,0.24769653,0.183872238253
ZTF19aapszzy,9.258,0.037,1.09669653,0.02334523506
ZTF19aaptwpu,8.363,0.041,0.67169653,0.079924964811
ZTF19aaptzar,9.128,0.029,0.87769653,0.019209372712
ZTF19aapuohr,8.367,0.057,0.92269653,0.032649655435
ZTF19aaputrv,9.389,0.015,0.50969653,0.021931712199
ZTF19aapvhhp,8.085,0.075,0.61769653,0.174642491966
ZTF19aapvogv,7.133,0.185,-0.05930347,0.434590611956
ZTF19aapwbvm,9.962,0.1,1.42069653,0.02
ZTF19aapxocr,9.224,0.114,1.28469653,0.041868842831
ZTF19aaqaeaj,8.706,0.051,0.86369653,0.060207972894
ZTF19aaqcqkv,7.207,0.149,0.74469653,0.170487536201
ZTF19aaqeisc,8.857,0.048,0.63369653,0.082969874051
ZTF19aaqgnhf,9.549,0.042,1.04169653,0.020615528128
ZTF19aaqhelq,10.571,0.02,1.37669653,0.017691806013
ZTF19aaqtcmy,10.068,0.026,1.17869653,0.017804493815
ZTF19aaqtyku,9.554,0.095,1.16569653,0.017691806013
ZTF19aaqwqhu,9.69,0.079,1.61069653,0.020518284529
ZTF19aaqxcfs,8.397,0.044,1.01769653,0.086838931361
ZTF19aaqyvdn,7.83,0.12,1.06469653,0.171058469536
ZTF19aaraued,8.28,0.024,0.34169653,0.092357999112
ZTF19aaraxhh,9.196,0.043,0.94469653,0.019849433241
ZTF19aardunx,9.41,0.032,1.60169653,0.023430749028
ZTF19aarfksi,8.761,0.079,0.60369653,0.039597979746
ZTF19aarflsx,9.635,0.075,1.14569653,0.021260291625
ZTF19aarfnto,9.618,0.112,1.34369653,0.023430749028
ZTF19aarfrmw,7.843,0.166,0.40469653,0.157079597657
ZTF19aargqez,9.199,0.04,1.20569653,0.019849433241
ZTF19aarhxgn,9.485,0.086,0.92769653,0.019209372712
ZTF19aarifvr,8.394,0.052,0.86969653,0.069354163538
ZTF19aarinmw,9.978,0.053,1.16269653,0.017691806013
ZTF19aaripqw,7.959,0.018,0.48669653,0.07494664769
ZTF19aariwpf,9.126,0.118,1.24869653,0.02941088234
ZTF19aarixue,7.978,0.089,0.70669653,0.127910124697
ZTF19aarkpif,7.258,0.419,0.66169653,1.114531740239
ZTF19aarlefl,8.268,0.031,0.96669653,0.05374011537
ZTF19aarmznp,8.78,0.033,1.05469653,0.048548944376
ZTF19aarnqzw,7.94,0.162,1.27169653,0.149040263016
ZTF19aarnrbw,9.507,0.078,1.16569653,0.019849433241
ZTF19aarprog,9.65,0.085,1.32969653,0.019798989873
ZTF19aarqmjs,8.331,0.038,1.12969653,0.077025969647
ZTF19aarstfg,8.064,0.031,0.65969653,0.064381674411
ZTF19aartuev,8.214,0.09,0.77369653,0.071700767081
ZTF19aartuli,8.942,0.053,1.13269653,0.020518284529
ZTF19aartylj,9.43,0.122,1.27369653,0.017691806013
ZTF19aasckwd,9.315,0.058,1.41269653,0.076059187479
ZTF19aascpkb,8.653,0.026,0.61669653,0.028844410204
ZTF19aasfsoi,8.193,0.062,0.96969653,0.086556340034
ZTF19aaskscv,8.095,0.201,1.29769653,0.323945983152
ZTF19aasmkhn,9.009,0.043,0.78469653,0.034
ZTF19aassqix,9.252,0.035,0.71869653,0.019849433241
ZTF19aasszud,8.069,0.075,0.96969653,0.106850362657
ZTF19aatgaiq,9.928,0.065,1.19869653,0.017691806013
ZTF19aatgopg,9.918,0.045,1.37869653,0.058137767415
ZTF19aatgrpm,8.511,0.08,1.21669653,0.080802227692
ZTF19aatgrxl,9.214,0.055,1.01869653,0.039204591568
ZTF19aatgrxv,8.5,0.02,0.64669653,0.030413812651
ZTF19aatgsdl,8.276,0.047,0.59069653,0.093813645063
ZTF19aatgwhs,8.141,0.07,0.87569653,0.152069063257
ZTF19aatgznl,9.329,0.08,1.14469653,0.028425340807
ZTF19aathcvn,8.191,0.092,0.70069653,0.069404610798
ZTF19aatlmbo,9.118,0.105,1.44369653,0.019849433241
ZTF19aatnefp,8.933,0.036,0.78269653,0.035468295702
ZTF19aatnfci,8.902,0.109,1.35669653,0.057384666942
ZTF19aatnfvj,10.385,0.032,1.27669653,0.019209372712
ZTF19aatrbqs,9.146,0.076,1.18069653,0.047434164903
ZTF19aatudsq,8.9,0.083,1.66769653,0.083528438271
ZTF19aatvkrn,,-9.0,,
ZTF19aatvlfl,8.728,0.07,0.95969653,0.146986393928
ZTF19aatvljp,8.483,0.041,0.91369653,0.061684682053
ZTF19aatvlxl,8.42,0.113,0.51669653,0.225523834661
ZTF19aatvlym,8.855,0.065,1.06269653,0.022803508502
ZTF19aatvmbo,7.965,0.173,0.68269653,0.150764717358
ZTF19aatvvvu,8.618,0.03,0.78269653,0.036891733491
ZTF19aatzlmw,8.752,0.135,1.25569653,0.059033888573
ZTF19aaugoig,9.289,0.038,1.00069653,0.026400757565
ZTF19aauguzk,9.196,0.041,1.16669653,0.021931712199
ZTF19aauhbua,8.435,0.178,1.55969653,0.132653684457
ZTF19aauhhjy,9.391,0.03,0.87969653,0.020615528128
ZTF19aauhwbp,9.212,0.103,1.31269653,0.02561249695
ZTF19aauitks,8.655,0.027,0.67669653,0.077369244536
ZTF19aauivtj,8.514,0.031,0.76069653,0.043566041822
ZTF19aaujiwc,9.888,0.042,1.30369653,0.019104973175
ZTF19aaujzqh,9.326,0.068,1.24369653,0.019849433241
ZTF19aaulzvc,8.747,0.098,1.04069653,0.077175125526
ZTF19aaumvig,8.315,0.01,0.44869653,0.032449961479
ZTF19aauoulb,9.078,0.114,1.16469653,0.077826730626
ZTF19aaupkev,8.048,0.176,0.65969653,0.560900169371
ZTF19aaupkrl,9.918,0.026,0.96669653,0.018439088915
ZTF19aauplxw,8.038,0.112,0.62769653,0.13635615131
ZTF19aaurhox,8.175,0.089,0.87669653,0.162289864132
ZTF19aaurstb,9.521,0.114,1.22769653,0.019798989873
ZTF19aaurxsa,8.956,0.027,0.98469653,0.037536648758
ZTF19aauuzlr,8.337,0.06,0.86669653,0.099126182212
ZTF19aauvczw,9.328,0.078,1.44369653,0.037443290454
ZTF19aauvjws,10.011,0.046,1.31569653,0.022803508502
ZTF19aauvkxu,8.648,0.097,1.00169653,0.110317722964
ZTF19aauxepf,7.837,0.094,0.37469653,0.219164321914
ZTF19aauxmqj,8.099,0.204,0.82869653,0.17821335528
ZTF19aavaikm,8.192,0.019,0.48269653,0.082219219164
ZTF19aavhvkd,7.747,0.084,0.94769653,0.087618491199
ZTF19aavhwxs,8.807,0.047,0.73669653,0.035510561809
ZTF19aavhxby,9.471,0.028,0.99669653,0.019849433241
ZTF19aavhypb,8.358,0.04,0.79969653,0.063134776471
ZTF19aavhzsc,,-9.0,,
ZTF19aavidqf,8.734,0.044,1.17669653,0.215139489634
ZTF19aavissk,7.721,0.065,0.11569653,0.212508823346
ZTF19aavivbl,8.559,0.142,1.34269653,1.226163529061
ZTF19aavkhuy,7.354,0.363,1.17169653,1.345666377673
ZTF19aavlnjz,8.018,0.114,0.77569653,0.375494340836
ZTF19aavmgtv,10.036,0.032,1.28669653,0.019209372712
ZTF19aavmlqh,8.771,0.036,0.70969653,0.055713553109
ZTF19aavmnpb,,-9.0,,
ZTF19aavnwoh,8.843,0.023,0.89369653,0.062169124169
ZTF19aavnwtf,8.775,0.027,0.65069653,0.024083189158
ZTF19aavnwxf,9.562,0.068,1.20669653,0.018439088915
ZTF19aavnwyt,8.267,0.015,0.35169653,0.035846896658
ZTF19aavnwzv,8.493,0.053,1.01169653,0.108300507847
ZTF19aavnxwj,9.678,0.016,1.30569653,0.019209372712
ZTF19aavnzti,10.388,0.075,1.15769653,0.018384776311
ZTF19aavoiyc,9.491,0.037,1.26769653,0.022671568098
ZTF19aavorpa,5.677,1.004,2.28469653,2.341226388028
ZTF19aavounq,8.487,0.052,0.93169653,0.090697298747
ZTF19aavowpa,8.938,0.056,0.92569653,0.056727418415
ZTF19aavqiuw,8.507,0.046,2.20969653,1.373560701243
ZTF19aavqoop,8.34,0.067,0.84669653,0.11136426716
ZTF19aavqotz,8.605,0.037,0.72769653,0.043863424399
ZTF19aavqoyu,8.124,0.194,0.56569653,0.454582225785
ZTF19aavrswr,,-9.0,,
ZTF19aavsahh,9.72,0.064,1.11469653,0.017691806013
